,title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags
10,L'abbÃ© Lionel Groulx et les consÃ©quences de l'Ã©migration canadienne-franÃ§aise aux Ã‰tats-Unis,"Quelques pensÃ©es sur l'attitude de Lionel Groulx - Ã©crivain, orateur, pretre - vers l'Ã©migration canadienne-franÃ§aise aux Ã‰tats-Unis, la rÃ©lation entre Ã©migration, la ruralisme du QuÃ©bec, et messianisme. Groulx Ã©tait un vrai nationaliste, et beaucoup de ses oeuvres rÃ©fletent une conception qui assimile l'Ã©migration avec la damnation et la fin de la francophonie canadienne et catholique.","BÃ©langer, Damien-Claude",,,2002-03 (spring/summer),,fr,,,,Journal article,"<a href=""http://www.worldcat.org/title/quebec-studies/oclc/60628349&amp;referer=brief_results"">60628349</a>","1890-1965; QuÃ©bec, Nouvelle-Angleterre",,,,,,,,,,,,,,,,,QuÃ©bec Studies,http://www.acqs.org/qc_studies_journal/table_of_contents.html,33,,,,https://francolibrary.com/archive/files/c8a9788286822ebda4ce4345f50e762e.jpg,Acculturation and Assimilation;Emigration and Immigration;Ethnicity and Collective Identity;Farming and Agriculture;Forestry;Language and Linguistics;New Brunswick;New England;Nonfiction;Nonfiction -- Immigration;QuÃ©bec;Religion;United States
11,The French Canadians Outside of QueÌbec,Brief essay from an early twentieth-century Canadian senator on the presence of French Canadians in the United States and the provinces of Canada.,"Belcourt, S.N.A.",,,1923-05-00,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/479566389"">479566389</a>",1900-1920; Canada; New England,,,,,,,,,,,,,,0002-7162,,#1,The Annals of the American Academy of Political and Social Science,http://www.jstor.org/stable/1014690,107,,,,,Acculturation and Assimilation;Biddeford ME;California;Canada;Demography;Emigration and Immigration;Exploration and Colonization;Fall River MA;Geography;Haverhill MA;Holyoke MA;Lawrence MA;Lewiston ME;Louisiana;Lowell MA;Manchester NH;New Bedford MA;New Brunswick;New England;New Mexico;Nonfiction;Nonfiction -- Government and Politics;Nonfiction -- Social Sciences;Ontario;Oregon;Providence RI;QuÃ©bec;Southbridge MA;Springfield MA;US Midwest;Woonsocket RI;Worcester MA
12,Francophonie,"Professor Bensmaia's thoughts on ""Francophone"" as a designator replacing ""French"" in the world of literary studies, and his participation in the academic opening of the French literature discipline to the contributions of French-speaking peoples outside of the ""hexagon"" - continental France.","Bensmaia, Reda;Waters, Alyson",,,2003,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/482413336"">482413336</a>",1950-2000,,,,,,,,,,,,,,0044-0078,,#103,Yale French Studies,http://www.jstor.org/stable/3182530,,,,,,Criticism and Review;Education;Ethnicity and Collective Identity;Fiction and Literature;France;Language and Linguistics;Literary Works -- Criticism and History
13,Intellectual Desire,"Autobiographical essay that attempts to tease out intersections between class, culture, and sexuality. BeÌrubeÌ recounts his past  ""in a way that focuses on class, ethnic, and educational migration"" out of a homebase in working-class Franco America.  The author writes: ""I do my work now in the borderlands between social classes, between the university and the community, between heterosexual and homosexual, between educated speech and down-to-earth talk, between Franco-American and QuÃ©bÃ©cois, between my family and the gay community."" Reprinting of a presentation BeÌrubeÌ gave at the 1992 Montreal colloquium, ""La Ville en Rose: Le Premier colloque QueÌbeÌcois d'eÌtudes lesbiennes et gaies."" Also available in the anthology, ""Queerly Classed: Gay Men and Lesbians Write About Class"" (Boston: South End Press, 1997).","BeÌrubeÌ, Allan",Preview (from collected edition),,1996,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/42671765"">42671765</a>",1960-1990; New England,,,,,,,,,,,,,,1527-9375,,#1,GLQ: A Journal of Lesbian and Gay Studies,http://books.google.com/books?id=W9ksIBH3f3EC&source=gbs_navlinks_s (limited preview here);http://glq.dukejournals.org/,3,,,,https://francolibrary.com/archive/files/9241a3b32947d152fc531a84538b4625.jpg,Acculturation and Assimilation;Aldenville MA;Androscoggin River Valley;Chicopee MA;Connecticut River Valley;Education;Emigration and Immigration;Gender and Sexuality;Holyoke MA;Merrimack River Valley;New England;Nonfiction;Nonfiction -- Essay;Penobscot River Valley;Personal History: Biography and Oral History;QuÃ©bec;Social History
14,Review : Backwoods Consumers and Homespun Capitalists : The Rise of a Market Culture in Eastern Canada,"A review of BÃ©atrice Craig's ""Backwoods Consumers and Homespun Capitalists: The Rise of a Market Culture in Eastern Canada"" (University of Toronto Press, 2007). From Bittermann, provided by Project MUSE: ""Backwoods Consumers and Homespun Capitalists examines the history of rural life in the Madawaska region of the Upper Saint John River Valley from early non-Indigenous settlement in the 1780s to the closing years of the third quarter of the nineteenth century. Thus, although the title suggests otherwise, it is a story that unfolds primarily within the history of British North America and the United States rather than the new Canadian nation-state. Although cast in large part as an exploration of questions raised by a literature concerning the presence or absence of capitalism in rural North America, Craig's study offers valuable insights to those who have little patience with the transition debate and who believe that wading into that quagmire simply generates more mud(dle).""","Bitterman, Rusty",,,2010 May,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/636583523"">636583523</a>",1780-1875,,,,,,,,,,,,,,0008-3755,,,The Canadian Historical Review,http://utpjournals.metapress.com/content/g16280u02kr1/?sortorder=asc,91,,,,https://francolibrary.com/archive/files/d09f7150113d9870e03ad66ffe64076e.jpg,Acculturation and Assimilation;Aroostook County ME;Business and Economics;Canada;Criticism and Review;Demography;Emigration and Immigration;Farming and Agriculture;Forestry;Fur-trading;Labor History;Maine;Native Americans;New Brunswick;New England;Nonfiction;Nonfiction -- History -- Economic and Industrial;St. John River Valley
15,"""Les franco-amÃ©ricains (1860-1980)"" de FranÃ§ois Weil et ""Les franco-amÃ©ricains de la Nouvelle-Angleterre (1776-1930)"" d'Yves Roby",Un rÃ©vue comparatif de deux textes historiques qui ont pour sujet les franco-amÃ©ricains de la Nouvelle-Angleterre.,"Boudreau, Sylvie",,,1992,,fr,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/55667210"">55667210</a>",1776-1980,,,,,,,,,,,,,,1710-1158,,,Francophonies d'AmÃ©rique,http://www.crccf.uottawa.ca/francophonies_amerique/index.html,2,,,,https://francolibrary.com/archive/files/f696477a72f16c40ac09c8fc67bb31d9.jpg,Criticism and Review;Emigration and Immigration;Ethnicity and Collective Identity;New England;Nonfiction;Nonfiction -- History -- General;QuÃ©bec
16,The Spacing of Births Among French-Canadian Families : An Historical Approach,"From the author: ""This article stresses on two aspects of demography. The first aspect is a historical and geographical analysis of the spacing of births among French-Canadians and the second one is the possibilities of using genealogies as sources of data which can yield demographic information. When official computations are not available, the development of demographic data based on family genealogies may give analysts some indication of past performances within societies. Genealogies thus provide a rich source of  information for both Canadian and American historical demographers. When proper methodological techniques are applied to these data, they yield results which then permit one to draw conclusions about demographic behavior. The data for the  present article are derived from a longer study dealing with historical demographic changes among French-Canadians between 1650 and 1950. The genealogy of one French-Canadian family is the source of information utilized in this report. The paper is intended to contribute additional information on changing patterns of child spacing over time and space.""","Bouvier, Leon F.",,,1968-02,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/226000748"">226000748</a>",1650-1950; Canada; United States,,,,,,,,,,,,,,0008-4948,,#1,The Canadian Review of Sociology and Anthropology,http://onlinelibrary.wiley.com/doi/10.1111/j.1755-618X.1968.tb01166.x/full,5,,,,,Canada;Demography;Family;Genealogy;Nonfiction;Nonfiction -- Anthropology;Nonfiction -- Demography;Nonfiction -- Social Sciences;Nonfiction -- Sociology;Religion
17,The French Canadian Tay-Sachs Disease Deletion Mutation : Identification of Probable Founders,"From Brakeleer et al: ""Tay-Sachs disease (TSD) is an inherited neurodegenerative ganglioside storage disorder caused by deficiency of the hexosaminidase A enzyme. A deletion allele (FCD) at the HEXA locus has attained high frequency in the French Canadian population. The distribution of affected probands shows a likely center of diffusion for this mutation located in the Bas-St.-Laurent and GaspÃ©sie regions of the province of Quebec. We have reconstructed the genealogies of 15 obligate carriers of the FCD allele to an average depth of 12 generations identifying 60 ancestors and 80 European founders common to all of them...""","Braekeleer, M.;Hechtman, P.;Andermann, E.;Kaplan, F.",,,1992-04-00,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/2699217"">2699217</a>","1650-1990; Bas-St-Laurent, GaspÃ©sie, QuÃ©bec",,,,,,,,,,,,,,0340-6717,,#1,Human Genetics,Human Genetics (journal website),89,,,,,France;Health and Wellness;Illness;Nonfiction;Nonfiction -- Science and Medicine;QuÃ©bec;St. Lawrence River Valley
18,New England French Vocabulary,"Brault's essay is an explanation of the results of language tests taken by nine Franco-American French speakers, his evaluation of their levels of vocabulary, and his observations of their speech habits. The overall conclusion of his study partially reads: ""The following partial tabulation of a Preliminary Classification Test administered to all nine informants demonstrates the fact that the two levels in the Franco-American phonetic system normally have a lexical correlation. In other words, if a Franco-American at Level 1 (i.e. that level farthest from standard French) succeeds in raising his speech phonetically to Level 2 (i.e. an intermediate level between Level 1 and standard French), his vocabulary will normally reveal a similar degree of switching to modern French.""","Brault, Gerard J.",,,1961-12,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/481209222"">481209222</a>",1950-1960; New England,,,,,,,,,,,,,,0016-111X,,#2,The French Review,http://www.jstor.org/stable/383710,35,,,,https://francolibrary.com/archive/files/49bd855cf5416d38f17e34a0bb6fca63.jpg,Acculturation and Assimilation;Language and Linguistics;Maine;Massachusetts;New England;New Hampshire;Nonfiction;Nonfiction -- Language and Linguistics
19,The Special NDEA Institute at Bowdoin College for French Teachers of Canadian Descent,"Essay on the 1961 French Institute (Bowdoin College, Brunswick, Maine) held under the terms of the National Defense Education Act that was intended, by the federal government, to tap into and develop the linguistic resource of native Franco-American French speakers. Complicated by the divergence of New England French from standard Parisian French. Brault provides here a paraphrased version of the Institute's curricula, which aimed to standardize spoken French from its dialectical or vernacular forms local to Maine.","Brault, Gerard J.",,,1962 September,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/483007386"">483007386</a>",1962; New England,,,,,,,,,,,,,,0030-8129,,#4,Publications of the Modern Language Association of America,http://www.jstor.org/stable/2699283,77,,,,,Acculturation and Assimilation;Brunswick ME;Education;Ethnicity and Collective Identity;Government and Politics;Language and Linguistics;Lewiston ME;Manchester NH;Nonfiction;Nonfiction -- Education;Providence RI;Woonsocket RI
20,Some Misconceptions about Teaching American Ethnic Children Their Mother Tongue,"Essay on language instruction, problems with favoring rote over mother tongue, and some arguments for maintaining linguistic heritages in language education.","Brault, Gerard J.",,,1964-02,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/479190371"">479190371</a>",1960s; Maine,,,,,,,,,,,,,,0026-7902,,#2,The Modern Language Journal,http://www.jstor.org/stable/320417,48,,,,https://francolibrary.com/archive/files/720af769e1a8e2be4ec0b5b643926a5a.jpg,Acculturation and Assimilation;Education;Ethnicity and Collective Identity;Government and Politics;Language and Linguistics;Nonfiction;Nonfiction -- Language and Linguistics
21,New England French Culture,"Arguments for the historical roots of the traits that customarily charge New England French culture, and the common struggles of ethnic immigrant groups in the United States.","Brault, Gerard J.",,,1972 March,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/481326764"">481326764</a>","1850-1970, New England",,,,,,,,,,,,,,0016-111X,,#4,The French Review,http://www.jstor.org/stable/388382,45,,,,,Emigration and Immigration;Ethnicity and Collective Identity;Family;Labor History;Language and Linguistics;Nonfiction;Nonfiction -- Ethnic Studies;Religion
22,English-speaking Quebec in the Light of Its Reaction to Bill 22,"An evaluation of reactions to, condemnations of, and opinions relative to QuÃ©bec's 1974 passage of Bill 22 - making law the preference and predominance of the French language in that province. Much of the hubbub surrounding this bill was created by its opponents who cited, among other things, its imposition on freedom of linguistic choice, or its strangulation of a parent's choice of the language in which one's child might be schooled. The author of this article used information gathered from English-speaking QuÃ©becers and English-language newspapers from the province. His ultimate argument is for the bill to be repealed, claiming, in the words of other opponents, that it is ""a repressive piece of legislation"" that pays scant attention to QuÃ©bec's anglophone minorities.","Caldwell, Gary",,,1976 Autumn,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/60621291"">60621291</a>",1974-1976; QuÃ©bec,,,,,,,,,,,,,,1943-9954,,#2,American Review of Canadian Studies,http://www.acsus.org,6,,,,https://francolibrary.com/archive/files/83c7f31e4eeafc0c0121122d22f06b1e.jpg,Business and Economics;Demography;Education;Government and Politics;Journalism;Language and Linguistics;MontrÃ©al QC;Nonfiction;Nonfiction -- Government and Politics;QuÃ©bec
23,Where French Is Not A Foreign Language : Franco-Americans and the State and University of Maine,"Rise and decline of French language media and academic programs in the US Northeast, as well as the persistence of discrimination against the North American French, with Maine as the primary context for observation. Includes tables of Maine county and town names with their respective percentage of French heritage population.","Carroll, Robert C.",Full text,,1980-05,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/3366503"">3366503</a>",1920-1980; Maine,,,,,,,,,,,,,,0148-7639,,#4,Association of Departments of Foreign Languages Bulletin,http://web2.adfl.org/adfl/bulletin/v11n4/114017.htm,11,,,,https://francolibrary.com/archive/files/769e3c76ede3b332f8c93b1f840dd59e.jpg,Acculturation and Assimilation;Auburn ME;Bangor ME;Biddeford ME;Education;Emigration and Immigration;Fort Kent ME;France;Language and Linguistics;Lewiston ME;Louisiana;Maine;Massachusetts;New Brunswick;New England;Nonfiction;Nonfiction -- Language and Linguistics;Nova Scotia;Orono ME;QuÃ©bec;St. John River Valley;St. Lawrence River Valley;Waterville ME;Woonsocket RI;Worcester MA
24,An Analysis of Canadian Bilingual Districts Policy,"A paper looking into the location and development of Bilingual Districts in Canada - meaning, the establishment of outposts of Canadian federal services that can take place in both English and French to serve a population that has significant percentages (greater than a 10% collective) of people who speak one language or the other in the minority. The author evaluates how proclaiming certain districts and not others ""bilingual"" can have an effect on the perception of that region, on the psychology surrounding assimilation, and on the population in that region keen to the language politics active in its surroundings.","Castonguay, Charles",,,1976 Autumn,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/60621291"">60621291</a>","1970s, QuÃ©bec",,,,,,,,,,,,,,1943-9954,,#2,American Review of Canadian Studies,http://www.acsus.org,6,,,,https://francolibrary.com/archive/files/f2c901085039ebd5226cc390e956626a.jpg,Demography;Government and Politics;Language and Linguistics;MontrÃ©al QC;New Brunswick;Nonfiction;Nonfiction -- Government and Politics;Ontario;QuÃ©bec
25,French-Canadian Literature: An Introductory Bibliography,"From Chartier: ""The following bibliography is a personal response to a growing number of demands from colleagues wishing to become acquainted with the rapidly expanding field of French-Canadian literature. This bibliography lays no claim whatever to completeness...only a multi-volumed effort could make such a claim, given the vastness of the subject-matter. The items listed here represent only a fraction of the very best work published in the fairly recent past. The general works are the most reliable source for readers interested in the literature of the earlier period.""","Chartier, Armand B.",,,1976 Autumn,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/484628221"">484628221</a>",up to 1976,,,,,,,,,,,,,,0047-7729,,#2,Modern Language Studies,http://www.jstor.org/stable/3194613,6,,,,,Art and Architecture;Bibliography;Ethnicity and Collective Identity;Fiction and Literature;Literary Works -- Criticism and History;New England;Poetry;QuÃ©bec;Social History
26,An Interview with GrÃ©goire Chabot,"Director of Assumption College's French Institute (Worcester, MA), Leslie Choquette, interviews Franco-American writer and Waterville, Maine, native, GrÃ©goire Chabot. The interview touches upon Chabot's youth, his decision to write in French, and his wrestling with the modern Franco-Americanie.","Choquette, Leslie",,,2002 Spring/Summer ,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/60628349"">60628349</a>","1950-2002, Maine, Massachusetts",,,,,,,,,,,,,,,,,QuÃ©bec Studies,http://www.acqs.org/qc_studies_journal/table_of_contents.html,33,,,,,Ethnicity and Collective Identity;Fiction and Literature;Language and Linguistics;Literary Works -- Other;Performing Arts;Personal History: Biography and Oral History;Waterville ME;Worcester MA
