title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
Three Franco-American Poets,"A look into the lives and works of Pière Moise-Joseph Marsile, Rosaire Dion-Levesque, and Robert Choquette -- three poets of the French language and French-Canadian heritage. A brief consideration of the labels ""Franco-American"" and ""French-Canadian"" as they apply to types of literature.","Tétrault, Lienne",,,1943 March,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/481090472"">481090471</a>","1900-1940, Illinois, New Hampshire",,,,,,,,,,,,,,0016-111X,,#5,The French Review,"<div class=""element-text""><a href=""http://www.jstor.org/stable/380983"">http://www.jstor.org/stable/380983</a></div>",16,,,,,Bourbonnais IL;Criticism and Review;Literary Works -- Criticism and History;Manchester NH;Nashua NH;Poetry;Québec,Literary Works | Oeuvres littéraires
"Postcolonialism in North America : Imaginative Colonization in Henry Thoreau's ""A Yankee in Canada"" and Jacques Poulin's ""Volkswagen Blues""","From the author:""This thesis introduces the concept of imaginative colonization in postcolonial literary and cultural studies, which has a particular relevance to the literatures of North America. It argues that the postcolonial experiences of the former colonies of England and France in the Americas, particularly the United States and French Canada, have been primarily conditioned by their relations to each other and not by their relations to the former colonizing power. Imaginative colonization occurs when one former colony, using the means of the cross-border narrative and/or the postmodern recuperation of history, reimagines another not as an autonomous cultural entity, but as a feature of its own history, language, ideology, and even cartography.""","Weisman, Adam Paul",,,1995-fall,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/482967897"">482967897</a>",1800-present; Canada; United States,,,,,,,,,,,,,,0025-4878,,#3,The Massachusetts Review,"<div class=""element-text""><a href=""http://www.jstor.org/stable/25090664"">www.jstor.org/stable/25090664</a></div>",36,,,,,Canada;Criticism and Review;Emigration and Immigration;Fiction and Literature;Government and Politics;Literary Works -- Criticism and History;Québec;United States,Literary Works | Oeuvres littéraires
Big Sur,"One of the later installments in Kerouac's ""Dulouz Legend."" Jack attempts to make an escape from a life in the public eye to the sea and forest surrounding a remote cabin in Big Sur, the wild of northern California. ","Kerouac, Jack",,Penguin Books,1962,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/26089403"">26089403</a>",,,,,,,,,,,,241,"New York, New York",,,9.78014E+11,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=6x7prdoDX-EC&amp;q=kerouac&amp;dq=kerouac&amp;hl=en&amp;ei=UKlZTICsJ9D-nAfw-LmVCQ&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=3&amp;ved=0CDcQ6AEwAg"">Big Sur @ Google Books</a></div>",,,,,https://francolibrary.com/archive/files/ae35f29b43d1031c0b3e93c2bd4840cb.jpg,Alcohol and Drugs;Big Sur CA;Fiction and Literature;Literary Works -- Fiction;New York NY;San Francisco CA,Literary Works | Oeuvres littéraires
Doctor Sax,"The spaces and tenements of Lowell, Massachusetts in the 1930s are prowled by a mythic, devilish character in the 'Doctor Sax' of the narrator's imagination. A weaving of real and fantastical images from the Lowell of Kerouac's youth. This title is featured prominently among the other novels in Kerouac's ""Duluoz Legend,"" or the series of books that forms a fictional portrait of the author's life.","Kerouac, Jack",Preview,Grove Press,1959,,en,,,,Book,"<a href=""http://www.worldcat.org/oclc/6082499"">6082499</a>","1930s; Lowell, Massachusetts",,,,,,,,,,,245,"New York, New York",,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=EXwFwRaQMWkC&amp;dq=kerouac%3B+doctor+sax&amp;source=gbs_navlinks_s"">Doctor Sax @ Google Books</a></div>",,,,,https://francolibrary.com/archive/files/6c5c6bf93a4b4235bd5e30a59e45b3e3.jpg,Dracut MA;Fiction and Literature;Folklore;Literary Works;Literary Works -- Fiction;Lowell MA;Merrimack River Valley;Mills and Mill Work;New England;Youth,Literary Works | Oeuvres littéraires
Maggie Cassidy,"Novel set at the end of Jack's high school days, chronicling an episode of teenage love and the tensions wrought on it when one moves on. Written in and out of the Lowell, Massachusetts of Kerouac's youth. Another piece of Jack Kerouac's autobiographical ""Duluoz Legend,"" ","Kerouac, Jack",,"Avon Book Division, Hearst Corporation",1959,,,,,,Book,"<a href=""http://www.worldcat.org/oclc/28534657"">28534657</a>",,,,,,,,,,,,194,"New York, New York",,,9.78014E+12,,,"<div class=""element-text""><a href=""http://www.nytimes.com/books/97/09/07/home/kerouac-maggie.html"">http://www.nytimes.com/books/97/09/07/home/kerouac-maggie.html</a> (a brief review from 1956) <br/> <br/> <a href=""http://books.google.com/books?id=fssfAQAAIAAJ&amp;q=kerouac%3B+maggie+cassidy&amp;dq=kerouac%3B+maggie+cassidy&amp;hl=en&amp;ei=9iAKTZTUK4Ss8Ab468CfAQ&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCYQ6AEwAA"">Maggie Cassidy @ Google Books</a></div>",,,,,https://francolibrary.com/archive/files/d4e2a09539e2c1041f699e03e46aae7c.jpg,Education;Fiction and Literature;Literary Works -- Fiction;Lowell MA;Mills and Mill Work;New England;Youth,Literary Works | Oeuvres littéraires
Satori in Paris,"In perhaps the culminating text of Kerouac's ""Duluoz Legend,"" Jack goes to France to dig up the roots and bloodlines beneath his family name and cultural identity. From the 1985 edition: ""'Satori in Paris' is a rollicking autobiographical account of Kerouac's search for his heritage in France, and lands the author in his familiar milieu of seedy bars and all-night conversations."" Often printed together with the novel entitled ""Pic.","Kerouac, Jack",,Grove Press,1966,,,,,,Book,"<a href=""http://www.worldcat.org/oclc/401934"">401934</a>",,,,,,,,,,,,118,"New York, New York",,,9.7808E+12,,,"<div class=""element-text""><a href=""http://www.groveatlantic.com/#page=isbn9780802130617"">http://www.groveatlantic.com/#page=isbn9780802130617</a> <br/> <br/> <a href=""http://books.google.com/books?id=ruoEaNST-dYC&amp;lpg=PP1&amp;dq=kerouac%3B%20satori%20in%20paris&amp;pg=PP1#v=onepage&amp;q&amp;f=false"">Satori in Paris @ Google Books</a> <br/> <br/> <a href=""http://www.francolib.francoamerican.org/items/show/113"">Essai sur Jack Kerouac et 'Satori in Paris'</a></div>",,,,,https://francolibrary.com/archive/files/3648275989dc4142755624faf11fa0ff.jpg,Alcohol and Drugs;Fiction and Literature;France;Genealogy;Language and Linguistics;Literary Works -- Fiction;Personal History: Biography and Oral History;Religion;Travel and Movement,Literary Works | Oeuvres littéraires
The Subterraneans,"Another installment of Kerouac's collection of novels known as the ""Duluoz Legend."" From Grove Press: ""Written over the course of three days and three nights, 'The Subterraneans' was generated out of the same kind of ecstatic flash of inspiration that produced another one of Kerouac's early classics, 'On the Road.' Centering around the tempestuous breakup of Leo Percepied and Mardou Fox - two denizens of the 1950s San Francisco underground - 'The Subterraneans' is a tale of dark alleys and smoky rooms, of artists, visionaries, and adventurers existing outside mainstream America's field of vision.""","Kerouac, Jack",,Grove Press,1958,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/285385"">285385</a>",,,,,,,,,,,,111,"New York, New York",,,,,,"<div class=""element-text"">None</div>",,,,,https://francolibrary.com/archive/files/b1f70546b79e2aaf179af77583617807.jpg,Fiction and Literature;Literary Works -- Fiction;San Francisco CA,Literary Works | Oeuvres littéraires
The Town and the City,"This is the first major novel published by Kerouac. It also makes up the foundation - the first installment - of his famed, unofficial, autobiographical fiction series, the ""Duluoz Legend."" ""The Town and the City"" is set in the fictional town of ""Galloway"" - easily recognized as the Lowell and Dracut, Massachusetts, of Kerouac's childhood - and the New York City of the 1930s and 1940s. We are introduced to the Martin family and taken throughout the separate and intertwining days of its very different children.","Kerouac, Jack",,"Harcourt, Brace, and Jovanovich",1950,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/1165357"">1165357</a>",,,,,,,,,,,,499,"New York, New York",,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=7ZhI869OZUoC&amp;dq=kerouac%3B+the+town+and+the+city&amp;source=gbs_navlinks_s"">http://books.google.com/books?id=7ZhI869OZUoC&amp;dq=kerouac%3B+the+town+and+the+city&amp;source=gbs_navlinks_s</a> (limited preview available here)</div>",,,,,https://francolibrary.com/archive/files/c0c80387f36916be5d0f2611ea6b9c4a.jpg,Acculturation and Assimilation;Death and Disaster;Family;Fiction and Literature;Literary Works -- Fiction;Lowell MA;New York NY,Literary Works | Oeuvres littéraires
Tristessa,"Originally published in 1960, ""Tristessa"" is a short novel that reflects on Jack's life in Mexico City and the people around him - particularly the woman of his admiration, the novel's title character. This is another later installment of the autobiographical ""Dulouz Legend.""","Kerouac, Jack",,Penguin Books,1960,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/24871127"">24871127</a>",,,,,,,,,,,,92,"New York, New York",,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=wvUOAQAAMAAJ&amp;q=tristessa&amp;dq=tristessa&amp;hl=en&amp;ei=7Ew0TZq5Gcm_gQfAvPXtCw&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCMQ6AEwAA"">Tristessa @ Google Books</a></div>",,,,,https://francolibrary.com/archive/files/a2b7d9a4881cccf541cae7421417c66c.jpg,Alcohol and Drugs;Fiction and Literature;Gender and Sexuality;Literary Works -- Fiction;Mexico;Religion,Literary Works | Oeuvres littéraires
Visions of Gerard,"Auto/biographical novel about Gerard - Jack Kerouac's older brother - whose personality, illness, and death at a young age shaped the early part of Jack's life. An early piece of the ""Duluoz Legend.""","Kerouac, Jack",,"Farrar, Straus and Giroux",1963,,English,,,,Book,"<a href=""http://www.worldcat.org/oclc/5887038"">5887038</a>",,,,,,,,,,,,151,"New York, New York",,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=tshlAAAAMAAJ&amp;q=visions+of+gerard&amp;dq=visions+of+gerard&amp;hl=en&amp;ei=b1A0TbfCD8G_gQftsumzCw&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCkQ6AEwAA"">Visions of Gerard @ Google Books</a> <br/> <br/> <a href=""http://us.penguingroup.com/nf/Book/BookDisplay/0,,9780140144529,00.html?strSrchSql=visions+of+gerard/Visions_of_Gerard_Jack_Kerouac"">Visions of Gerard @ Penguin Books</a></div>",,,,,https://francolibrary.com/archive/files/90a6b18588db8d9b4d4220123e98c726.jpg,Community: Customs and Social Life;Death and Disaster;Education;Family;Fiction and Literature;Literary Works -- Fiction;Lowell MA;Religion;Youth,Literary Works | Oeuvres littéraires
Ceci est la vie : 90 poeèmes,"Une collection poeèsie d'un écrivain francophone de Massachusetts, publiée à  Beverly, Massachusetts - une ville de banlieue à  l'extérieur de Boston.","La Voye, G.",,North Shore,1978,,Français,,,,Book,"<a href=""http://www.worldcat.org/oclc/7404070"">7404070</a>",,,,,,,,,,,,45,"Beverly, Massachusetts",,,,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=Ma0VPQAACAAJ&amp;dq=g.+la+voye%3B+ceci+est+la+vie&amp;hl=en&amp;ei=s-CtTKuMEoGB8gbnrpj0BA&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCgQ6AEwAA"">Ceci est la vie... sur Google Books</a></div>",,,,,,Beverly MA;Literary Works -- Poetry;Massachusetts;Poetry,Literary Works | Oeuvres littéraires
Une tradition perdue dans les rigueurs de la vallée: nouvelle,"Une grande texte qui contient des photos, poièsie, quelques recettes populaires, et des vieux blagues de la vallée St. Jean dans le comté Aroostook du Maine, sur la frontiière des Etats-Unis et la Nouveau-Brunswick.","Labonté, Robert",,éditions Lavigne,1992,,fr,,,,Book,"<a href=""http://www.worldcat.org/oclc/27851198"">27851198</a>","17e siiècle - 20e siiècle; Maine, Nouveau-Brunswick",,,,,,,,,,,90,"St-Basile, Nouveau-Brunswick",,,9.78092E+12,,,"<div class=""element-text"">Aucun (Est-ce que vous connaissez la location virtuelle de cet article?)</div>",,,,,https://francolibrary.com/archive/files/ce1e966d9bed7cf9e8b2cb49dfebdc6b.jpg,Acadians;Ethnicity and Collective Identity;Folklore;Food;Literary Works;Literary Works -- Other;Madawaska ME;Music;New Brunswick;St. John River Valley;Van Buren ME,Literary Works | Oeuvres littéraires
Folklore de la mer et religion,"De l'avant-propos: ""Le pière Benoit Lacroix, O.P., avec toute la lucidité qu'on lui connait, a su, lui aussi, plonger dans la profondeur de l'a?me du pecheur pour essayer d'en decouvrir le phénomiène religieux maritime; et, en bon pédagogue, il aiguise notre curieux besoin de savoir, en nous posant quatre-vingt-sept questions pertinentes qui vont continuer a aiguiller notre recherche spirituelle et maritime.""

French-Canadian folklore that shows the intersection of religion and the marine world, with some additional stories.","Lacroix, Benoiêt",,Leméac,1980,,Français,,,,Book,"<a href=""http://www.worldcat.org/oclc/8345159"">8345159</a>",,,,,,,,,,,,114,"Montréal, Québec",,,9.78276E+12,,,"<div class=""element-text""><a href=""http://books.google.com/books?id=srHYAAAAMAAJ&amp;q=lacroix%3B+folklore+de+la+mer&amp;dq=lacroix%3B+folklore+de+la+mer&amp;hl=en&amp;ei=j0AiTPu7G4H48Abtk7Rj&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCwQ6AEwAA"">Folklore de la mer et religion sur Google Books</a> <br/><br/> <a href=""http://www.persee.fr/web/revues/home/prescript/article/assr_0335-5985_1981_num_52_2_2238_t1_0245_0000_4"">http://www.persee.fr/web/revues/home/prescript/article/assr_0335-5985_1981_num_52_2_2238_t1_0245_0000_4</a> (un critique du texte)</div>",,,,,,Canada;Fishing;Folklore;New Brunswick;Nova Scotia;Personal History: Biography and Oral History;Québec;Religion,Literary Works | Oeuvres littéraires
L'innocente victime,"English translation of ""L'innocente victime,"" first published in 1938. From Images from the Past: ""A fast-paced tale of deceit, determination, lies, love, loss, and murder. The dramatic story of Jean and Marie Legendre enlightens the reader about the experience of 19th century French-Canadian immigrants to New England, the emotional impact of such a migration on individual French-Canadians and their families, and the challenges they faced in a new country. 'The Innocent Victim' combines fiction and history in a delightful story that is both entertaining and educational."" 
","Lambert, Adélard",,Images from the Past,2008 (1938),,English (traduction du français),,,,Book,"<a href=""http://www.worldcat.org/oclc/232536785"">232536785</a>",,,,,,,,,,,,116,"Bennington, Vermont",,,9.78188E+12,,,"<div class=""element-text""><a href=""http://www.imagesfromthepast.com/IV.html"">http://www.imagesfromthepast.com/IV.html</a> <br/><br/> <a href=""http://books.google.com/books?id=1M71NwAACAAJ&amp;dq=lambert;+l%27innocent+victim&amp;hl=en&amp;ei=oxxITY-oDYaSgQeTkozeBQ&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CCcQ6AEwAA"">L'innocente victime @ Google Books</a></div>",,,,,,Death and Disaster;Emigration and Immigration;Ethnicity and Collective Identity;Fiction and Literature;Literary Works -- Fiction;Manchester NH;New England;Québec;War,Literary Works | Oeuvres littéraires
"Postcards from Acadie: Grand Pré, Evangeline & the Acadian Identity","From Gaspereau Press: ""In 'Postcards from Acadie,' Barbara Le Blanc explores the cultural and symbolic resonance of the Grand Pré National Historic site...Excavating the political and cultural symbols that have shaped Grand Pré, Le Blanc explores the ways in which we negotiate personal and group identity. In Acadian endeavours to direct and control a sense of identity in a changing world, Grand Pré plays a significant role by serving as a place of heritage commemoration and celebration - of past, present, and future..."" ","Le Blanc, Barbara",,Gaspereau Press,2003 June,,English (with français),,,,Book,"<a href=""http://www.worldcat.org/oclc/52070757"">52070757</a>","1680-1755, Grand Pré, Nova Scotia",,,,,,,,,,,204,"Kentville, Nova Scotia",,,,,,"<div class=""element-text""><a href=""http://www.gaspereau.com/1894031695.shtml"">http://www.gaspereau.com/1894031695.shtml</a> <br/><br/> <a href=""http://books.google.com/books?id=epvDAAAACAAJ&amp;dq=postcards+from+acadie&amp;hl=en&amp;ei=QFQ0Tda1I4bqgQeKxK2aCw&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=1&amp;ved=0CDEQ6AEwAA"">Postcards from Acadie @ Google Books</a></div>",,,,,,Acadians;Death and Disaster;Ethnicity and Collective Identity;Nova Scotia;Personal History: Biography and Oral History;Poetry;Social History;Violence,Literary Works | Oeuvres littéraires
