title,description,creator,source,publisher,date,contributor,language,rights,relation,format,type1,identifier,coverage,zotero_genre,zotero_distributor,zotero_director,z_performer,zotero_episode_number,zotero_language,zotero_network,zotero_audio_recording_format,zotero_label,zotero_running_time,zotero_num_pages,zotero_place,zotero_publisher,zotero_issn,zotero_isbn,zotero_issue,zotero_publication_title,z_url,zotero_volume,zotero_short_title,z_ref,type2,files,tags,collection
Mapping Cultural Groups in an American Industrial City,"Brief description of a sociological method used to ""investigat[e] the pattern of cultural groups"" in Worcester, Massachusetts. Based on the research conducted from Creveling's doctoral dissertation, ""The pattern of cultural groups in Worcester"" (Clark University, 1951). Includes a copy of Creveling's ethno-map produced out of local interviews, as well as a map that designates the location of Catholic churches in Worcester and their primary ethnic make-up.","Creveling, Harold Franklin",,,1955-10,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/483109943"">483109943</a>","1950-1955; Worcester, Massachusetts",,,,,,,,,,,,,,0013-0095,,#4,Economic Geography,"<div class=""element-text""><a href=""http://www.jstor.org/stable/142249"">http://www.jstor.org/stable/142249</a></div>",31,,,,,Community: Customs and Social Life;Demography;Ethnicity and Collective Identity;Geography;Labor History;Massachusetts;Mills and Mill Work;Nonfiction;Nonfiction -- Ethnic Studies;Nonfiction -- Social Sciences;Nonfiction -- Sociology;Religion;Social History;Worcester MA,Journal Articles | Articles dans revues académiques
The Growth of the French Canadian Race in America,French-Canadian population growth in Canada as a model for testing the claims of Malthusian economics.,"Davidson, John",Full text,,1896-01,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/479354506"">479354506</a>",1850-1896; Canada,,,,,,,,,,,,,,0002-7162,,#2,The Annals of the American Academy of Political and Social Science,"<div class=""element-text""><a href=""http://www.jstor.org/stable/1009231"">http://www.jstor.org/stable/1009231</a></div>",8,,,,,Acadians;Acculturation and Assimilation;Business and Economics;Canada;Demography;Emigration and Immigration;France;Nonfiction;Nonfiction -- Demography;Nonfiction -- Social Sciences;Québec,Journal Articles | Articles dans revues académiques
Étude sociolinguistique de quelques caractéristiques des emprunts à  l'anglais par des franco-américains du Massachusetts,"De l'auteur: ""On entend souvent dire que le français parlé par les Franco-Américains comporte un grand nombre d'anglicismes. L'étude d'un corpus recueilli aupriès de 25 locuteurs franco-américains du Massachusetts permet de quantifier plus précisément la situation. On constate que le nombre d'emprunts à  l'anglais dans le discours français est comparable à  plusieurs points de vue à  celui d'autres communautés francophones minoritaires en Amérique du Nord, soit en général moins de 1%. De plus, on observe un certain degré de variation sociologique, les hommes empruntant davantage que les femmes, tout comme les plus a?gés par rapport aux plus jeunes. Quoique triès limitée, cette analyse exploratoire indique que des perceptions et des jugements parfois subjectifs demandent une étude plus approfondie et à  partir de données nombreuses et représentatives."" ","Dupuis, Jacinthe",,,1997,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/14190595"">14190595</a>","1990s, Massachusetts",,,,,,,,,,,,,,0835-3603,,#2,Revue québécoise de linguistique,"<div class=""element-text""><a href=""http://www.erudit.org/revue/rql/1997/v25/n2/603137ar.pdf"">http://www.erudit.org/revue/rql/1997/v25/n2/603137ar.pdf</a> (le texte en plein)</div>",25,,,,,Acculturation and Assimilation;Cohoes NY;Ethnicity and Collective Identity;Language and Linguistics;Lowell MA;Maine;Massachusetts;New England;New Hampshire,Journal Articles | Articles dans revues académiques
L'émigration des Canadiens français aux XIXe siiècle : position du problième et perspective,Une perspective franco-canadienne sur les émigrations canadiennes aux États-Unis d'Ontario et Québec au 19eme siiècle. Écrit par un professeur d'économique de l'Université Laval.,"Faucher, Albert",Texte intégral,,1964,,fr,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/61571987"">61571987</a>",1800-1900; New England; Ontario; Québec,,,,,,,,,,,,,,0034-1282,,,Recherches sociographiques,"<div class=""element-text""><a href=""http://id.erudit.org/iderudit/055236ar"">http://id.erudit.org/iderudit/055236ar</a><br/></div>",5,,,,https://francolibrary.com/archive/files/e681d8dbfeb1ba60ae172eebf0bb26bc.jpg,Demography;Emigration and Immigration;Geography;Labor History;New England;Nonfiction;Nonfiction -- Immigration;Ontario;Québec;United States;US Midwest,Journal Articles | Articles dans revues académiques
Une communauté franco-américaine dans l'Etat de New York : une étude préliminaire sur le français à  Cohoes,"Un bref essai sur la persistance au vingtiième siiècle de la langue et la culture francophone à  Cohoes, New York.","Fox, Cynthia A.",Texte intégral,,1993,,fr,,,,Journal article,"<a href=""http://www.worldcat.org/oclc/232493413"">232493413</a>","1900-1990; Cohoes, New York",,,,,,,,,,,,,,1710-1158,,,Francophonies d'Amérique,"<div class=""element-text""><a href=""http://francophoniesdamerique.uottawa.ca/fa3.html"">http://francophoniesdamerique.uottawa.ca/fa3.html</a></div>;<div class=""element-text""><a href=""http://www.erudit.org/revue/fa/1993/v/n3/index.html"">http://www.erudit.org/revue/fa/1993/v/n3/index.html</a></div>",3,,,,https://francolibrary.com/archive/files/818944afda97d9ce15962480c63d876b.jpg,Acculturation and Assimilation;Cohoes NY;Demography;Emigration and Immigration;Language and Linguistics;Nonfiction;Nonfiction -- Language and Linguistics;Religion,Journal Articles | Articles dans revues académiques
"On Maintaining a Francophone Identity in Cohoes, NY","From the author: ""One third of the population of Cohoes, New York, is descended from French-Canadians who immigrated to the northeastern United States between 1840 and 1930. Since the end of immigration, the close-knit community centered on the French parish has undergone profound changes and French has ceased to be the language of everyday communication among its members. This paper describes the characteristic behaviors and attitudes which set the remaining Cohoes French speakers off as a group from other minority language communities and help them maintain their francophone identity.""","Fox, Cynthia A.",,,1995-12,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/481676277"">481676277</a>","1990s; Cohoes, New York",,,,,,,,,,,,,,0016-111X,,#2,The French Review,"<div class=""element-text""><a href=""http://www.jstor.org/stable/397917"">http://www.jstor.org/stable/397917</a></div>",69,,,,https://francolibrary.com/archive/files/96b7f2e87d236bbb11e0c0d6a1d66666.jpg,Acculturation and Assimilation;Cohoes NY;Community: Customs and Social Life;Demography;Emigration and Immigration;Ethnicity and Collective Identity;Hudson River Valley;Language and Linguistics;Mohawk River Valley;Nonfiction;Nonfiction -- Language and Linguistics;Personal History: Biography and Oral History,Journal Articles | Articles dans revues académiques
La variation régionale en français franco-américain : les formes verbales à  la troisieme personne du pluriel,"Du l'auteur: ""Cet article présente les résultats d'une étude des formes verbales à  la troisiième personne du pluriel dans le français parlé à  Gardner, Massachusetts. Nous commençons par un survol historique de cette communauté franco-américaine. Nous passons ensuite à  une description de notre méthodologie. Enfin, la quantification des données nous permet de dégager des tendances générales quant à  la distribution de ces formes.""","Fox, Cynthia A.",Texte intégral,,2006,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/233598733"">233598733</a>","1865-2006; Gardner, Massachusetts",,,,,,,,,,,,,,1481-868X,,#2,Canadian Journal of Applied Linguistics,"<div class=""element-text""><a href=""http://www.aclacaal.org/Revue/vol-9-no2-art-fox.pdf"">http://www.aclacaal.org/Revue/vol-9-no2-art-fox.pdf</a> (le texte en plein)</div>",9,,,,https://francolibrary.com/archive/files/2a8ee79b355a5a7840f5528ab133d636.jpg,Berlin NH;Biddeford ME;Bristol CT;Brunswick ME;Cohoes NY;Community: Customs and Social Life;Demography;Emigration and Immigration;Franklin VT;Gardner MA;Greenville NH;Highgate VT;Language and Linguistics;Lewiston ME;Manchester NH;New Brunswick;New England;Nonfiction;Nonfiction -- Language and Linguistics;Nova Scotia;Québec;Rumford ME;Southbridge MA;Van Buren ME;Waterville ME;Woonsocket RI,Journal Articles | Articles dans revues académiques
Franco-American Voices : French in the Northeastern United States Today,"From the author: ""This paper describes the current situation of Franco-American French. The discussion is based on interviews with 275 speakers from eight communities: Van Buren, Waterville, and Biddeford, Maine, Berlin, New Hampshire, Southbridge and Gardner, Massachusetts, Bristol, Connecticut, and Woonsocket, Rhode Island. Our analysis confirms that French has not been transmitted to the youngest generations and that its domains of use are highly restricted. Nevertheless, the majority of speakers still use the language often (18%) if not daily (44%). Our findings suggest that French still plays a central role in the lives of its speakers despite their decreasing numbers.""","Fox, Cynthia A.",,,2007-05-00,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/137573877"">137573877</a>",2000-2007; New England,,,,,,,,,,,,,,0016-111X,,#6,The French Review,"<div class=""element-text""><a href=""http://cat.inist.fr/?aModele=afficheN&amp;cpsidt=18800120"">http://cat.inist.fr/?aModele=afficheN&amp;cpsidt=18800120</a></div>",80,,,,https://francolibrary.com/archive/files/69e4e898f85cba446804d2ca5ff72fc4.jpg,Berlin NH;Biddeford ME;Bristol CT;Community: Customs and Social Life;Emigration and Immigration;Gardner MA;Language and Linguistics;Nonfiction;Nonfiction -- Language and Linguistics;Southbridge MA;Van Buren ME;Waterville ME;Woonsocket RI,Journal Articles | Articles dans revues académiques
Recherches en cours sur le français franco-américain,"De Glottopol, la revue de sociolinguistique en ligne: ""Jane Smith et Cynthia Fox font le point sur les analyses qu'elles ont déjà  produites jusqu'ici, notamment la situation du franco-américain à  l'heure actuelle, l'implantation des dialectes franco-canadiens et acadiens et le maintien ou la perte de leurs traits d'origine ; les conséquences linguistiques du contact avec l'anglais et de l'emploi réduit du français ; et enfin le franco-américain à  l'intérieur du dynamisme du français nord-américain.""","Fox, Cynthia A.;Smith, Jane S.",Texte intégral,,2007-01,,fr,,,,Journal article,"<a href=""http://www.worldcat.org/oclc/643755913"">643755913</a>",20e siiècle; Nouvelle-Angleterre,,,,,,,,,,,,,,,,,Glottopol: Revue de sociolinguistique en ligne,"<div class=""element-text""><a href=""http://www.univ-rouen.fr/dyalang/glottopol/numero_9.html"">http://www.univ-rouen.fr/dyalang/glottopol/numero_9.html</a> (le texte en plein)</div>",9,,,,https://francolibrary.com/archive/files/fbf2bc698b077db71fc84bed53f13fce.jpg,Acadians;Acculturation and Assimilation;Berlin NH;Biddeford ME;Bristol CT;Demography;Ethnicity and Collective Identity;Gardner MA;Gender and Sexuality;Language and Linguistics;New England;Nonfiction;Nonfiction -- Language and Linguistics;Southbridge MA;Van Buren ME;Waterville ME;Woonsocket RI,Journal Articles | Articles dans revues académiques
L'identité franco-américaine : tendances actuelles dans le sud de la Nouvelle-Angleterre,"De Fox, Fortin, Martin, et Stelling: ""Le terme «franco-américain» s'emploie pour désigner les immigrants canadiens arrivés au nord-est des États-Unis pendant une période s'étalant de 1840 à  1930. Catholiques et francophones, ils y ont établi des communautés resserrées et un réseau d'institutions religieuses, scolaires et sociales afin de maintenir leur religion, leur langue, et leur mode de vie traditionnel. Cependant, l'évolution rapide qu'a connue ce groupe depuis les soixante derniières années a déclenché un débat sur sa définition : comment les Franco-Américains se caractérisent-ils actuellement? Partagent-ils encore une identité commune? La présente étude cherche à  contribuer à  la discussion en se servant de témoignages oraux provenant d'entretiens sociolinguistiques réalisés aupriès de 130 habitants de quatre villes: Woonsocket (Rhode Island), Southbridge et Gardner (Massachussetts) et Bristol (Connecticut). Deux analyses quantitatives de ces données nous permettent d'obtenir une vue d'ensemble de la question identitaire. Puis, nous nous penchons sur les particularités de chaque communauté dans une série d'analyses qualitatives. La synthièse de ces différentes analyses nous permet de constater que les quatre communautés connaissent un processus d'assimilation dont le rythme et les caractéristiques diffièrent considérablement d'une communauté à  l'autre. Même si un grand nombre d'entre-eux utilisent toujours l'étiquette franco-américaine pour se décrire, les Franco-Américains se limitent désormais à  une conception identitaire qui évolue au sein de leur propre communauté sans référence à  une culture supra-communautaire.""","Fox, Cynthia A.;Fortin, Geneviiève;Martin, Véronique;Stelling, Louis",Texte intégral,,2007-01,,en; fr,,,,Article journal,"<a href=""http://www.worldcat.org/oclc/365012401"">365012401</a>",1940-2007; New England,,,,,,,,,,,,,,0007-7720,,#1,Canadian Review of American Studies,"<div class=""element-text""><a href=""http://utpjournals.metapress.com/content/q2p24m84367h1n43/?a=9"">http://utpjournals.metapress.com/content/q2p24m84367h1n43/?a=9</a><br/></div>",37,,,,https://francolibrary.com/archive/files/fe06f9777d8b3239c62a6cd8d7300927.jpg,Acculturation and Assimilation;Bristol CT;Community: Customs and Social Life;Demography;Gardner MA;Language and Linguistics;New England;Nonfiction;Nonfiction -- Language and Linguistics;Personal History: Biography and Oral History;Southbridge MA;Woonsocket RI,Journal Articles | Articles dans revues académiques
Michigan's Habitant Heritage,"Tricentennial commemorative issue of the FCHS Journal in celebration of Michigan's habitant history. Contains pictures, copies of original written documents, brief articles, biographies, genealogies, etc.","French-Canadian Heritage Society of Michigan;Moreau, Gail",,,2001 January,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/317154052"">317154052</a>","1800-2001, Michigan",,,,,,,,,,,,,,,,#1,Journal of the French-Canadian Heritage Society of Michigan,"<div class=""element-text""><a href=""http://fchsm.habitant.org/"">http://fchsm.habitant.org/</a></div>",22,,,,,Community: Customs and Social Life;Forestry;France;Fur-trading;Michigan;Native Americans;Québec,Journal Articles | Articles dans revues académiques
"Liberty, Coercion, and the Making of Americans","From the author: ""In this essay, I test the Crièvecoeurian myth of Americanization against the rich body of work produced by historians and other students of European immigration in the twentieth century. The myth consists of four distinct claims: first, that European immigrants wanted to shed their Old World ways and to become American, second, that Americanization was quick and easy because the immigrants found no significant obstacles thrown in their path, third, that Americanization 'melted' the immigrants into a single race, culture, or nation, unvarying across space and time, and fourth, that immigrants experienced Americanization as emancipation from servitude, deference, poverty, and other Old World constraints....I focus on literature generated since World War I on European immigration from 1880 to 1920, the era of the so-called new immigrants.""","Gerstle, Gary",,,1997-09,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/35782298"">35782298</a>",1880-1920; United States,,,,,,,,,,,,,,0021-8723,,#2,The Journal of American History,"<div class=""element-text""><a href=""http://www.jstor.org/stable/2952569"">http://www.jstor.org/stable/2952569</a></div>",84,,,,https://francolibrary.com/archive/files/aefce3e1e03a5daa21cbacdf9a3d587a.jpg,Acculturation and Assimilation;Austria;Boston MA;Bulgaria;Chicago IL;Emigration and Immigration;England;Ethnicity and Collective Identity;Europe;Germany;Government and Politics;Greece;Hungary;Ireland;Italy;Jewish Americans;Lithuania;New York NY;Nonfiction;Nonfiction -- Immigration;Poland;Portugal;Québec;United States;War;Woonsocket RI;Yugoslavia,Journal Articles | Articles dans revues académiques
Journalism and the French Survival in New England,"Essay on the plight of Franco cultural survivance and the efforts of Franco journalists to survive the French language in New England in the early twentieth century. Written by a Franco and bicultural sympathizer in the late 1930s. Includes brief descriptions of specific Franco periodicals from throughout New England, with special emphasis on Le Travailleur (Worcester, Massachusetts).","Ham, Edward B.",,,1938 March,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/480371160"">480371160</a>","1930s; New England; Worcester, Massachusetts",,,,,,,,,,,,,,0028-4866,,#1,The New England Quarterly,"<div class=""element-text""><a href=""http://www.jstor.org/stable/360562"">http://www.jstor.org/stable/360562</a></div>",11,,,,https://francolibrary.com/archive/files/14e0c7cb09d7eaab8614e42368856fda.jpg,Acculturation and Assimilation;Amesbury MA;Biddeford ME;Central Falls RI;Ethnicity and Collective Identity;Fall River MA;Fitchburg MA;Hartford CT;Haverhill MA;Holyoke MA;Journalism;Language and Linguistics;Lawrence MA;Lewiston ME;Lowell MA;Lynn MA;Manchester NH;Marlboro MA;Nashua NH;New Bedford MA;New England;Newburyport MA;Nonfiction;Nonfiction -- Journalism;Pawtucket RI;Salem MA;Sanford ME;Taunton MA;Waterbury CT;Waterville ME;Woonsocket RI;Worcester MA,Journal Articles | Articles dans revues académiques
The Second Colonization of New England,"Narrative and descriptive short history of immigration to the United States between 1815 and 1914. Focuses primarily on New England, and emphasizes the presence of Irish, French Canadian, and German newcomers, the means of their arrival, and the impact of their presence.","Hansen, Marcus L.",,,1929-10,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/480337610"">480337610</a>",1815-1914; New England,,,,,,,,,,,,,,0028-4866,,4,The New England Quarterly,"<div class=""element-text""><a href=""http://www.jstor.org/stable/359167"">http://www.jstor.org/stable/359167</a></div>",2,,,,https://francolibrary.com/archive/files/e5744700b9ee48fef7388a541cecbf29.jpg,Emigration and Immigration;Labor History;Mills and Mill Work;New England;Nonfiction;Nonfiction -- Immigration;Social History,Journal Articles | Articles dans revues académiques
The Structure of the Canadian French Consonant System,"Discussion of consonantal traits characteristic of Canadian French, excluding the dialectical traits of the Acadians typically heard in Northern Maine and the Maritime Provinces in Canada. Brief references to French Creole and New England Franco-American French. From the author: ""The purpose of this study is to discuss the structure of the consonant system of Canadian French, especially in its more archaic (i.e., less assimilated to the standard language) form, in order to show that a seemingly complex set of allophonic and phonemic developments, of different origins, bear witness to a single tendency toward greater economy of distinctive features in the phonological system.""","Hull, Alexander",,,1966,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/608944874"">608944874</a>",1960s; Canada,,,,,,,,,,,,,,0075-966X,,#1,La Linguistique,,2,,,,https://francolibrary.com/archive/files/b0dc8da6a52d59f90b359205e3e5282c.jpg,Canada;Language and Linguistics;Nonfiction;Nonfiction -- Language and Linguistics,Journal Articles | Articles dans revues académiques
Emigration of Canadians to the United States,"1923 article on emigration statistics from the whole of Canada into the United States. Complete with tables and commentary. Geographic distribution of Canadians in the United States. Sites French Canadians as ""less migratory,"" or less prone to emigrate than other Canadians.","Jackson, G.E.",,,1923-05,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/479566418"">479566418</a>",1830-1927; Canada; United States,,,,,,,,,,,,,,0002-7162,,1,The Annals of the American Academy of Political and Social Science,"<div class=""element-text""><a href=""http://www.jstor.org/stable/1014691"">http://www.jstor.org/stable/1014691</a></div>",107,,,,https://francolibrary.com/archive/files/a91b61e2912deb521162bde74141b73a.jpg,Alberta;British Columbia;Canada;Demography;Emigration and Immigration;Fall River MA;Geography;Government and Politics;Lowell MA;Manitoba;New Bedford MA;New Brunswick;Nonfiction;Nonfiction -- Immigration;Nova Scotia;Ontario;Prince Edward Island;Québec;Saskatchewan;United States,Journal Articles | Articles dans revues académiques
French Canadians in the United States,"Essay on general attitudes toward French Canadians and Franco Americans in the United States, and descriptions of the customs of this immigrated ethnic group in the 1940s.","Kalijarvi, T.V.",,,1942-01,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/479889934"">479889934</a>",1940s; New England; Midwest; California; Québec,,,,,,,,,,,,,,0002-7162,,#1,The Annals of the American Academy of Political and Social Science,"<div class=""element-text""><a href=""http://www.jstor.org/stable/1023796"">http://www.jstor.org/stable/1023796</a></div>",223,,,,,Bellechasse PQ;California;Community: Customs and Social Life;Connecticut;Detroit MI;Emigration and Immigration;Ethnicity and Collective Identity;Fall River MA;Family;Holyoke MA;Illinois;La Beauce QC;Labor History;Lewiston ME;Louisiana;Lowell MA;Maine;Manchester NH;Massachusetts;Meriden CT;Michigan;Nashua NH;New Bedford MA;New Hampshire;New York;Nonfiction;Nonfiction -- Social Sciences;Nonfiction -- Sociology;Québec;Religion;Rhode Island;Salem MA;Social History;Southbridge MA;Springfield MA;St. Albans VT;Vermont;War;Wisconsin;Woonsocket RI,Journal Articles | Articles dans revues académiques
Language Attitudes in a French-American Community,"From ERIC: ""[The text] examines these questions: how do America's ethno-linguistic groups adjust to the bicultural demands made on them? How are speakers of local varieties of French as opposed to other forms viewed by French-Americans? Does participation in a bilingual education program influence children's attitudes?""","Lambert, Wallace E.;Giles, Howard;Picard, Omer",,,1975,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/471883210"">471883210</a>",1970s; New England,,,,,,,,,,,,,,0024-3949,,#158,Linguistics,"<div class=""element-text""><a href=""http://www.reference-global.com/doi/abs/10.1515/ling.1975.13.158.127"">http://www.reference-global.com/doi/abs/10.1515/ling.1975.13.158.127</a></div>",13,,,,https://francolibrary.com/archive/files/fef1b7dbfd79d1d1ceff48f3fa89102e.jpg,Community: Customs and Social Life;Education;Ethnicity and Collective Identity;Language and Linguistics;New England;Nonfiction;Nonfiction -- Language and Linguistics,Journal Articles | Articles dans revues académiques
"Je me souviens ... aussi: Microethnicity and the Fragility of Memory in French-Canadian New England
","From the author: ""This bilingual article explores the possibilities of post-bilingual 'Canadian' memory and identity through the literary and cultural history of Canada's largest extraterritorial diasporic community: the French-Canadians of New England. In examining textual sources through which New England French-Canadians have imagined their affinities and differences in relation to other ethnic groups and nationalities, from the mid-19th century up to the present day (e.g., Tremblay, Beaugrand, Kerouac, Plante, Proulx), an alternative model for the 21st century emerges: a politics of alterity in which an increasingly fragile 'microethnic' memory continues to be rearticulated across linguistic and national borders to serve as a parallel narrative to metropolitan discourses of identity, exceptionalism and survivance.""","Larkosh, Christopher ",,,2006 Fall,,Français and English,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/243540416"">243540416</a>","1850-2006, New England",,,,,,,,,,,,,,1206-0143,,#16,TOPIA: Canadian Journal of Cultural Studies,"<div class=""element-text""><a href=""http://pi.library.yorku.ca/ojs/index.php/topia/article/view/13271"">http://pi.library.yorku.ca/ojs/index.php/topia/article/view/13271</a> (full text available here)</div>",,,,,,Acculturation and Assimilation;Ethnicity and Collective Identity;Language and Linguistics;New England;Québec;United States,Journal Articles | Articles dans revues académiques
Debunking the Myth of Ethnic Solidarity in Three Franco-American Texts,"From refdoc.fr: ""This article examines three Francophone texts written by Franco-American authors of New England, texts that have received scant critical attention. Writing in a language other than English in the United States foregrounds issues of cultural survival. Whereas in the past Franco-American literary efforts depicted unified communities engaged in the preservation of their distinct cultural heritage-la langue, la foi, et la culture françaises-the works examined here subvert this picture of cohesiveness. In exposing the rigid class structure, dysfunctional families, and bitter disputes over language that fragment this linguistic group, they debunk the myth of ethnic solidarity in Franco-American society.""","Lees, Cynthia C.",,,2007,,,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/137573882"">137573882</a>",New England,,,,,,,,,,,,,,0016-111X,,#6,The French Review,"<div class=""element-text""><a href=""http://cat.inist.fr/?aModele=afficheN&amp;cpsidt=18800121"">http://cat.inist.fr/?aModele=afficheN&amp;cpsidt=18800121</a></div>",80,,,,,Community: Customs and Social Life;Criticism and Review;Ethnicity and Collective Identity;Family;Language and Linguistics;Literary Works -- Criticism and History;New England,Journal Articles | Articles dans revues académiques
"Performing Family Stories, Forming Cultural Identity : Franco American Mémière Stories
","Performance studies essay on Franco American grandmothers and the formation of cultural identity through storytelling. Written by Mark and Marcia Bailey Professor at the University of Maine and co-author of ""Storytelling in Daily Life"" (Temple University Press, 2004).","Langellier, Kristin M.",Preview,,2002,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/432533894"">432533894</a>",21st century; Maine,,,,,,,,,,,,,,1051-0974,,#1,Communication Studies,"<div class=""element-text""><a href=""http://www.tandf.co.uk/journals/titles/10510974.asp"">http://www.tandf.co.uk/journals/titles/10510974.asp</a></div>",53,,,,https://francolibrary.com/archive/files/5ae522ec074e8dbea112456769b7d67a.jpg,Ethnicity and Collective Identity;Family;Maine;Nonfiction;Nonfiction -- Performance Studies;Performing Arts,Journal Articles | Articles dans revues académiques
"Notes on the Vocabulary of the French-Canadian Dialect Spoken in Brunswick, Maine","An exploration of French language spoken by the descendents of French-Canadian immigrants in Brunswick, Maine. Includes pronunciations and a litany of terms that differ from ""standard French.""","Locke, William N.",,,1946-05,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/481108175"">481108175</a>","1940s; Brunswick, Maine",,,,,,,,,,,,,,0016-111X,,#6,The French Review,"<div class=""element-text""><a href=""http://www.jstor.org/stable/380393"">http://www.jstor.org/stable/380393</a></div>",19,,,,https://francolibrary.com/archive/files/9e050049f41629e939293f85f4e07bd3.jpg,Brunswick ME;Language and Linguistics;Nonfiction;Nonfiction -- Language and Linguistics;Québec;St. Lawrence River Valley,Journal Articles | Articles dans revues académiques
The French Canadians in New England,"Introduction to French-Canadian immigration to New England in the second half of the nineteenth century. Observations on distribution of population by town and the organization of Catholic parishes. Written by a professor at Bowdoin College, Brunswick, Maine.","MacDonald, William",,,1898-04,,en,,,,Journal Article,"<a href=""http://www.worldcat.org/oclc/479765552"">479765552</a>",1820-1898; New England,,,,,,,,,,,,,,0033-5533,,3,The Quarterly Journal of Economics,"<div class=""element-text""><a href=""http://www.jstor.org/stable/1881895"">http://www.jstor.org/stable/1881895</a></div>",12,,,,https://francolibrary.com/archive/files/95c8bc1e33ef35f6748ba65deb075c1b.jpg,Baltic CT;Biddeford ME;Boston MA;Brewer ME;Bridgeport CT;Brockton MA;Brunswick ME;Burlington VT;Cambridge MA;Central Falls RI;Chelsea MA;Connecticut;Demography;Emigration and Immigration;Ethnicity and Collective Identity;Fairfield ME;Fall River MA;Farming and Agriculture;Fitchburg MA;Gardner MA;Great Falls NH;Grosvenordale CT;Hartford CT;Haverhill MA;Holyoke MA;Hudson MA;Indian Orchard MA;Labor History;Lawrence MA;Leominster MA;Lewiston ME;Lowell MA;Lynn MA;Maine;Manchang MA;Manchester NH;Manville RI;Massachusetts;Meriden CT;Millbury MA;Mills and Mill Work;Nashua NH;New Bedford MA;New England;New Hampshire;New Haven CT;Nonfiction;Nonfiction -- Immigration;North Adams MA;North Brookfield MA;Northampton MA;Pawtucket RI;Portland ME;Providence RI;Putnam CT;Québec;Religion;Rhode Island;Rochester NH;Rutland VT;Saco ME;Salem MA;Somerville MA;Southbridge MA;Spencer MA;Springfield MA;Taunton MA;Vermont;Waltham MA;Waterville ME;Webster MA;Winooski Falls VT;Woburn MA;Woonsocket RI;Worcester MA,Journal Articles | Articles dans revues académiques
Resisting the Melting Pot : The Long Term Impact of Maintaining Identity for Franco-Americans in New England,"From MacKinnon and Parent - Department of Economics, McGill University: ""In this paper, we look at the emigration of approximately 1 million French-Canadians who moved to the United States, with the bulk of the migration occurring between the end of the Civil War and 1930 and with most settling in neighboring New England. What makes this episode particularly interesting is the fact that the French-Canadian immigrants exerted considerable efforts to maintain their language and to replicate their home century institutions, most notably the schooling system, in their new country. This explicit resistance to assimilation generated considerable attention and concern in the U.S. over many years.... We look at the convergence in the educational attainment of French Canadian immigrants across generations relative to native English-speaking New Englanders and to other immigrants....Additionally, we show that military service was a very important factor contributing to the assimilation process through a variety of related channels, namely educational attainment, language assimilation, marrying outside the ethnic group, and moving out of New England. Finally, when we compare Franco-Americans to French-speaking Canadians of the same generations, it is clear that Franco-Americans substantially upgraded their educational attainment relative to what it would have been if they had not emigrated.""","MacKinnon, Mary;Parent, Daniel",Full text,,2005-06,,en,,,,Journal Article,,1860-2005; New England,,,,,,,,,CIRPEE Working Paper,,63,,,,,2025-05-17 00:00:00,,"<div class=""element-text""><a href=""http://papers.ssrn.com/sol3/papers.cfm?abstract_id=739627"">http://papers.ssrn.com/sol3/papers.cfm?abstract_id=739627</a> (full text available here)</div>",,,,,,Acculturation and Assimilation;Business and Economics;Canada;Demography;Education;Emigration and Immigration;Ethnicity and Collective Identity;Fall River MA;Holyoke MA;Language and Linguistics;Mexico;New England;Nonfiction;Nonfiction -- Education;Nonfiction -- Immigration;Nonfiction -- Social Sciences;Québec;Religion;United States;War,Journal Articles | Articles dans revues académiques
